family,Confirmed names,bird_flower,bird_fruit,bat_flower,bat_fruit,primate_fruit,Accessed 23/12/2023
Amaryllidaceae,Amaryllidaceae,1,1,0,0,0,
Anacardiaceae,Anacardiaceae,0,1,0,1,1,
Annonaceae,Annonaceae,0,1,0,1,1,
Apocynaceae,Apocynaceae,1,1,0,1,1,
Aquifoliaceae,Aquifoliaceae,0,1,0,0,0,
Araceae,Araceae,0,1,0,1,1,
Araliaceae,Araliaceae,1,1,0,0,0,
Canellaceae,Canellaceae,0,1,0,0,0,
Capparaceae,Capparaceae,1,1,0,0,0,
Caprifoliaceae,Caprifoliaceae,0,1,0,0,0,
Celastraceae,Celastraceae,0,1,0,0,1,
Chloranthaceae,Chloranthaceae,0,1,0,0,0,
Chrysobalanaceae,Chrysobalanaceae,0,1,1,0,1,
Clusiaceae,Clusiaceae,1,1,0,0,1,
Combretaceae,Combretaceae,1,1,0,1,0,
Connaraceae,Connaraceae,0,1,0,0,0,
Convolulaceae,Lauraceae,1,1,1,0,1,
Cornaceae,Cornaceae,0,1,0,0,0,
Cucurbitaceae,Cucurbitaceae,1,1,1,0,0,
Cunoniaceae,Cunoniaceae,0,1,0,0,0,
Cyclanthaceae,Cyclanthaceae,0,1,0,1,0,
Dilleniaceae,Dilleniaceae,0,1,0,0,1,
Ebenaceae,Ebenaceae,0,1,0,0,1,
Elaeocarpaceae,Elaeocarpaceae,1,1,0,0,0,
Ericaceae,Ericaceae,1,1,0,0,0,
Erythroxylaceae,Erythroxylaceae,0,1,0,0,0,
Euphorbiaceae,Euphorbiaceae,1,1,0,0,1,
Fabaceae,Fabaceae,1,1,1,0,1,
Icacinaceae,Icacinaceae,0,1,0,0,1,
Lacistemataceae,Lacistemataceae,0,1,0,0,0,
Lauraceae,Lauraceae,0,1,0,0,1,
Liliaceae,Liliaceae,1,1,0,0,0,
Loganiaceae,Loganiaceae,0,1,0,0,0,
Loranthaceae,Loranthaceae,1,1,0,0,0,
Magnoliaceae,Magnoliaceae,0,1,0,0,0,
Malpighiaceae,Malpighiaceae,0,1,0,0,0,
Marantaceae,Marantaceae,1,1,0,0,0,
Marcgraviaceae,Marcgraviaceae,0,1,1,1,0,
Melastomaceae,Melastomataceae,0,1,0,1,1,
Meliaceae,Meliaceae,1,1,0,1,1,
Menispermaceae,Menispermaceae,0,1,0,0,1,
Monimiaceae,Monimiaceae,0,1,0,0,0,
Moraceae,Moraceae,0,1,0,1,1,
Myricaceae,Myricaceae,0,1,0,0,0,
Myristicaceae,Myristicaceae,0,1,0,0,1,
Myrsinaceae,Primulaceae,0,1,0,0,0,
Myrtaceae,Myrtaceae,1,1,1,1,1,
Nyctaginaceae,Nyctaginaceae,0,1,0,0,0,
Ochnaceae,Ochnaceae,0,1,0,0,0,
Olacaceae,Olacaceae,0,1,0,0,1,
Oleaceae,Oleaceae,0,1,0,0,0,
Pandanaceae,Pandanaceae,0,1,1,1,0,
Passifloraceae,Passifloraceae,1,1,1,1,0,
Phytolaccaceae,Phytolaccaceae,0,1,0,0,0,
Piperaceae,Piperaceae,0,1,0,1,0,
Pittosporaceae,Pittosporaceae,0,1,0,0,0,
Polygonaceae,Polygonaceae,0,1,0,0,0,
Proteaceae,Proteaceae,1,1,1,0,0,
Rhamnaceae,Rhamnaceae,0,1,0,1,0,
Rosaceae,Rosaceae,1,1,0,1,1,
Rubiaceae,Rubiaceae,1,1,1,1,1,
Rutaceae,Rutaceae,1,1,0,0,1,
Santalaceae,Santalaceae,0,1,0,0,0,
Sapindaceae,Sapindaceae,0,1,0,1,1,
Sapotaceae,Sapotaceae,0,1,1,1,1,
Saxifragaceae,Saxifragaceae,0,1,0,0,0,
Scrophulariaceae,Scrophulariaceae,1,1,0,0,0,
Simaroubaceae,Simaroubaceae,0,1,0,0,1,
Smilacaceae,Smilacaceae,0,1,0,0,0,
Solanaceae,Solanaceae,1,1,1,1,0,
Staphyleaceae,Staphyleaceae,0,1,0,0,0,
Strelitziaceae,Strelitziaceae,1,1,1,0,0,
Taccaceae,Dioscoreaceae,0,1,0,0,0,
Theaceae,Theaceae,1,1,0,0,0,
Ulmaceae,Ulmaceae,0,1,0,0,1,
Urticaceae,Urticaceae,0,1,0,1,1,
Verbenaceae,Verbenaceae,1,1,0,1,1,
Vitaceae,Vitaceae,0,1,0,0,0,
Zingiberaceae,Zingiberaceae,1,1,0,0,0,
Zygophyllaceae,Zygophyllaceae,0,1,0,0,0,
