family,lineage,order_n,genera_n,species,geo_distribution,geolog_age,bird_flower,bird_fruit,bat_flower,bat_fruit,primate_fruit
Acanthaceae,Asterid,Lamiales,229,"3,500",Pantropical,67,1,0,1,0,0
Agavaceae,Monocot,Asparagales,23,637,Pantropical,23,0,0,1,0,0
Amaryllidaceae,Monocot,Asparagales,59,800,Pantropical,91,1,1,0,0,0
Anacardiaceae,Rosid,Sapindales,70,985,Pantropical,56,0,1,0,1,1
Annonaceae,Basal angiosperm,Magnoliales,129,"2,220",Pantropical,82,0,1,0,1,1
Apocynaceae,Asterid,Gentianales,415,"4,555",Pantropical,64,1,1,0,1,1
Aquifoliaceae,Rosid,Aguifoliales,1,405,Pantropical,77,0,1,0,0,0
Araceae,Monocot,Alismatales,106,"4,025",Pantropical,128,0,1,0,1,1
Araliaceae,Rosid,Apiales,43,"1,450",Pantropical,69,1,1,0,0,0
Canellaceae,Basal angiosperm,Canellales,5,13,"Neotropical, Africa",99,0,1,0,0,0
Capparaceae,Rosid,Brassicales,16,480,Pantropical,Late Cretaceous?,1,1,0,0,0
Caprifoliaceae,Asterid,Dipsacales,5,220,Pantropical,101,0,1,0,0,0
Celastraceae,Rosid,Celestrales,89,"1,300","Neotropical, Asia, Australasia",58,0,1,0,0,1
Chloranthaceae,Basal angiosperm,Chloranthales,4,75,"Neotropical, Asia, Australasia",147,0,1,0,0,0
Chrysobalanaceae,Rosid,Malpighiales,17,460,Pantropical,41,0,1,1,0,1
Clusiaceae,Rosid,Malpighiales,14,595,Pantropical,45,1,1,0,0,1
Combretaceae,Rosid,Myrtales,20,500,Pantropical,79,1,1,0,1,0
Connaraceae,Rosid,Oxidales,12,180,Pantropical,NA,0,1,0,0,0
Convolulaceae,Asterid,Solanales,57,"1,600",Pantropical,88,1,1,1,0,1
Cornaceae,Asterid,Cornales,2,85,Pantropical,104,0,1,0,0,0
Crassulaceae,Basal eudicot?,Saxifragales,4,"1,370","Neotropical, Asia, Australasia",75,1,0,0,0,0
Cucurbitaceae,Rosid,Cucurbitales,118,845,Pantropical,65,1,1,1,0,0
Cunoniaceae,Rosid,Oxidales,26,280,Pantropical,66,0,1,0,0,0
Cyclanthaceae,Monocot,Pandanales,12,225,Neotropical,86,0,1,0,1,0
Dilleniaceae,Basal eudicot,Dilleniales,12,300,Pantropical,105,0,1,0,0,1
Ebenaceae,Asterid,Ericales,4,548,Pantropical,100,0,1,0,0,1
Elaeocarpaceae,Rosid,Oxidales,12,625,"Neotropical, Asia, Australasia",66,1,1,0,0,0
Ericaceae,Asterid,Ericales,126,"3,995",Pantropical,90,1,1,0,0,0
Erythroxylaceae,Rosid,Malpighiales,4,240,Pantropical,49,0,1,0,0,0
Euphorbiaceae,Rosid,Malpighiales,222,"5,970",Pantropical,69,1,1,0,0,1
Fabaceae,Rosid,Fabales,730,"19,400",Pantropical,79,1,1,1,0,1
Fagaceae,Rosid,Fagales,7,670,"N. America, Eurasia",61,0,0,0,0,1
Gentianaceae,Asterid,Gentianales,87,"1,650",Pantropical,64,0,0,1,0,0
Geraniaceae,Rosid,Geraniales,7,805,Pantropical,71,1,0,0,0,0
Gesneriaceae,Asterid,Lamiales,147,"3,870",Pantropical,78,1,0,1,0,0
Heliconiaceae,Monocot,Zingiberales,1,ca. 200,"Neotropical, IndoPacific",78,1,0,1,0,0
Houmiriaceae,Rosid,Malpighiales,8,50,"Neotropical, Africa",67,0,0,0,0,1
Icacinaceae,Asterid,Garryales?,23,149,Pantropical,118,0,1,0,0,1
Iridaceae,Monocot,Asparagales,66,"2,025",Pantropical,101,1,0,0,0,0
Lacistemataceae,Rosid,Malpighiales,2,14,Neotropical,53,0,1,0,0,0
Lamiaceae,Asterid,Lamiales,236,"7,175",Pantropical,63,1,0,0,0,0
Lauraceae,Basal angiosperm,Laurales,50,"2,500",Pantropical,80,0,1,0,0,1
Liliaceae,Monocot,Liliales,66,635,Pantropical,86,1,1,0,0,0
Loganiaceae,Asterid,Gentianales,13,420,Pantropical,66,0,1,0,0,0
Loranthaceae,Basal eudicot,Santalales,68,950,Pantropical,53,1,1,0,0,0
Lythracaceae,Rosid,Myrtales,31,620,Pantropical,57,0,0,1,0,0
Magnoliaceae,Basal angiosperm,Magnoliales,2,227,"Neotropical, Asia, Australasia",92,0,1,0,0,0
