"LEVEL_3_CO"	"SpecName"
"ELS"	"Abeillia abeillei"
"GUA"	"Abeillia abeillei"
"HON"	"Abeillia abeillei"
"MXC"	"Abeillia abeillei"
"MXG"	"Abeillia abeillei"
"MXS"	"Abeillia abeillei"
"MXT"	"Abeillia abeillei"
"NIC"	"Abeillia abeillei"
"ASS"	"Abroscopus albogularis"
"BAN"	"Abroscopus albogularis"
"CHC"	"Abroscopus albogularis"
"CHH"	"Abroscopus albogularis"
"CHS"	"Abroscopus albogularis"
"EHM"	"Abroscopus albogularis"
"IND"	"Abroscopus albogularis"
"LAO"	"Abroscopus albogularis"
"MYA"	"Abroscopus albogularis"
"NEP"	"Abroscopus albogularis"
"TAI"	"Abroscopus albogularis"
"THA"	"Abroscopus albogularis"
"VIE"	"Abroscopus albogularis"
"ASS"	"Abroscopus schisticeps"
"CHC"	"Abroscopus schisticeps"
"CHT"	"Abroscopus schisticeps"
"EHM"	"Abroscopus schisticeps"
"IND"	"Abroscopus schisticeps"
"MYA"	"Abroscopus schisticeps"
"NEP"	"Abroscopus schisticeps"
"VIE"	"Abroscopus schisticeps"
"WHM"	"Abroscopus schisticeps"
"ASS"	"Abroscopus superciliaris"
"BAN"	"Abroscopus superciliaris"
"BOR"	"Abroscopus superciliaris"
"CBD"	"Abroscopus superciliaris"
"CHC"	"Abroscopus superciliaris"
"CHS"	"Abroscopus superciliaris"
"EHM"	"Abroscopus superciliaris"
"IND"	"Abroscopus superciliaris"
"JAW"	"Abroscopus superciliaris"
"LAO"	"Abroscopus superciliaris"
"MLY"	"Abroscopus superciliaris"
"MYA"	"Abroscopus superciliaris"
"NEP"	"Abroscopus superciliaris"
"PHI"	"Abroscopus superciliaris"
"SUM"	"Abroscopus superciliaris"
"THA"	"Abroscopus superciliaris"
"VIE"	"Abroscopus superciliaris"
"CLM"	"Aburria aburri"
"ECU"	"Aburria aburri"
"PER"	"Aburria aburri"
"VEN"	"Aburria aburri"
"NSW"	"Acanthagenys rufogularis"
"NTA"	"Acanthagenys rufogularis"
"QLD"	"Acanthagenys rufogularis"
"SOA"	"Acanthagenys rufogularis"
"VIC"	"Acanthagenys rufogularis"
"WAU"	"Acanthagenys rufogularis"
"COS"	"Acanthidops bairdi"
"PAN"	"Acanthidops bairdi"
"NZN"	"Acanthisitta chloris"
"NZS"	"Acanthisitta chloris"
"NSW"	"Acanthiza apicalis"
"NTA"	"Acanthiza apicalis"
"QLD"	"Acanthiza apicalis"
"SOA"	"Acanthiza apicalis"
"VIC"	"Acanthiza apicalis"
"WAU"	"Acanthiza apicalis"
"NSW"	"Acanthiza chrysorrhoa"
"NTA"	"Acanthiza chrysorrhoa"
"QLD"	"Acanthiza chrysorrhoa"
"SOA"	"Acanthiza chrysorrhoa"
"TAS"	"Acanthiza chrysorrhoa"
"VIC"	"Acanthiza chrysorrhoa"
"WAU"	"Acanthiza chrysorrhoa"
"TAS"	"Acanthiza ewingii"
"WAU"	"Acanthiza inornata"
"NSW"	"Acanthiza iredalei"
"SOA"	"Acanthiza iredalei"
